Ticker;Name;Exchange;About_en;About_es;Url;CedearRatio;Currency;Ready
GBAN;Naturgy Ban S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
GCDI;Gcdi S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
GCLA;Grupo Clarin S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
GGAL;Grupo Financiero Galicia S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
GRIM;Grimoldi S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
HARG;Holcim S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
HAVA;Havanna Holding S.A.;BCBA;<b>Havanna</b> is an Argentine company recognized worldwide for its alfajores and chocolates. We are probably talking about the best alfajor in the world. It is present in 8 countries including Argentina and the United States.;<b>Havanna</b> es una compañía argentina reconocida a nivel mundial por sus alfajores y chocolates. Probablemente hablamos del mejor alfajor del mundo. Tiene presencia en 8 países incluyendo Argentina y Estados Unidos.;https://www.havanna.com.ar;-;ARS;True
INTR;Compañia Introductora De Buenos Aires S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
INVJ;Inversora Juramento S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
IRSA;Irsa Inversiones Y Representaciones S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
LEDE;Ledesma S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
LOMA;Loma Negra S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
LONG;Longvie S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
METR;Metrogas S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
